destination,year,tonnage,tonnage_class,departure_action,destination_action,flag,homeport_state_1789_fr,homeport,departure
Le Havre,1787,15,[1-20],out,in,French,France,Carteret,Port Bail
Courseulles,1787,11,[1-20],out,in,French,France,Courseulles,Courseulles
Courseulles,1787,13,[1-20],out,in,French,France,Courseulles,Granville
Rouen,1787,12,[1-20],in-out,in,French,France,La Hougue,La Hougue
Angleterre,1787,2,[1-20],out,in,British,,,Boulogne sur Mer
Granville,1787,20,[1-20],out,in,French,France,La Hougue,Granville
Granville,1787,12,[1-20],out,in,French,France,La Hougue,Le Havre
Granville,1787,12,[1-20],out,in,French,France,La Hougue,Granville
Rouen,1787,12,[1-20],out,in,French,France,La Hougue,Granville
Méan,1787,30,[21-50],out,in,French,France,Méan,Nantes
Méan,1787,30,[21-50],out,in,French,France,Méan,Lorient
Rochefort,1787,60,[51-100],out,in,French,France,Saint Martin [de Ré],La Rochelle
Angleterre,1787,2,[1-20],out,in,British,,,Boulogne sur Mer
Italie,1787,,,out,in,French,,,Ajaccio
Angleterre,1787,2,[1-20],out,in,British,,,Boulogne sur Mer
Angleterre,1787,2,[1-20],out,in,British,,,Boulogne sur Mer
Rouen,1787,35,[21-50],out,in,French,,,Le Havre
Bordeaux,1787,150,[101-200],out,in,Austrian NL,Autriche,Anvers,Dunkerque
Méan,1787,32,[21-50],out,in,French,France,Méan,Nantes
Italie,1787,,,out,in,French,,,Ajaccio
Sunderland,1787,150,[101-200],out,in,British,Grande-Bretagne,Sunderland,Dunkerque
Saint Domingue,1787,250,[201-500],in-out,in,French,France,Dunkerque,La Martinique
Rouen,1787,120,[101-200],out,in,French,France,Rouen,Bordeaux
La Hougue,1787,12,[1-20],out,in,French,France,La Hougue,Dieppe
Vierville,1787,2,[1-20],out,in,French,,,Rouen
Liverpool,1787,60,[51-100],out,in,British,Grande-Bretagne,Liverpool,Rouen
Cherbourg,1787,34,[21-50],out,in,French,France,Portbail,La Rochelle
Marseille,1787,270,[201-500],out,in,French,France,Boulogne sur Mer,Le Havre
Nantes,1787,50,[21-50],out,in,French,France,Argenton,Le Havre
Côte de Bretagne,1787,10,[1-20],out,in,French,France,Arzon,Ribérou [Saujon]
Saint Valéry sur Somme,1787,170,[101-200],out,in,French,France,Saint Valéry,La Rochelle
Angleterre,1787,2,[1-20],out,in,British,,,Boulogne sur Mer
Bordeaux,1787,36,[21-50],out,in,French,France,Paimpol,La Rochelle
Angleterre,1787,2,[1-20],out,in,British,,,Boulogne sur Mer
Caen,1787,25,[21-50],out,in,French,France,Caen,Dunkerque
Le Havre,1787,45,[21-50],out,in,French,France,Breath,La Rochelle
Granville,1787,25,[21-50],out,in,French,France,La Hougue,Granville
Le Havre,1787,60,[51-100],out,in,French,,,Quillebeuf
Saint Valéry sur Somme,1787,150,[101-200],out,in,French,France,Saint Valery,La Rochelle
Dieppe,1787,18,[1-20],out,in,French,France,La Hougue,Binic
Rouen,1787,14,[1-20],out,in,French,France,La Hougue,Granville
Frédérickshall,1787,84,[51-100],out,in,Danish/Norwegian,,,Fécamp
Le Havre,1787,50,[21-50],out,in,French,,,Rouen
Saint Brieux,1787,140,[101-200],out,in,French,,,Granville
Granville,1787,80,[51-100],out,in,French,France,Granville,La Rochelle
Holmestrand,1787,136,[101-200],out,in,Danish/Norwegian,Danemark,Hotenstrand,Nantes
Saint Malo,1787,90,[51-100],out,in,French,France,Saint Malo,Ars en Ré
Rouen,1787,112,[101-200],out,in,French,,,Quillebeuf
Espagne [Mediterranean],1787,220,[201-500],in-out,in,French,France,Port Vendres,Italie
Espagne [Mediterranean],1787,220,[201-500],in-out,in,French,France,Port Vendres,Sardaigne
Bordeaux,1787,94,[51-100],out,in,French,France,Saint Malo,Brest
Côte de Bretagne,1787,80,[51-100],out,in,French,France,Dahouet,Le Croisic
Rochefort,1787,62,[51-100],out,in,French,France,Nantes,Nantes
Colchester,1787,30,[21-50],out,in,British,,,Dieppe
Le Havre,1787,74,[51-100],out,in,French,,,Rouen
Nantes,1787,90,[51-100],out,in,Dutch,,,Dieppe
Mediterranée,1787,,,out,in,French,,,Bastia
Rouen,1787,100,[51-100],out,in,French,France,Rouen,La Rochelle
Nantes,1787,45,[21-50],out,in,French,France,Nantes,Rouen
Cherbourg,1787,118,[101-200],out,in,French,France,Nantes,Rochefort
Le Havre,1787,54,[51-100],out,in,French,,,Rouen
Touques,1787,78,[51-100],out,in,French,,,Rouen
Hambourg,1787,170,[101-200],out,in,Swedish,Suède,Wolgast,Dunkerque
Rouen,1787,122,[101-200],out,in,French,France,Quilleboeuf,La Rochelle
Rouen,1787,12,[1-20],out,in,French,France,La Hougue,Granville
La Hougue,1787,12,[1-20],out,in,French,France,La Hougue,Rouen
Cherbourg,1787,20,[1-20],out,in,French,,,Granville
Saint Domingue,1787,200,[101-200],in-out,in,French,France,Dunkerque,La Martinique
Morlaix,1787,217,[201-500],out,in,French,,,Granville
Le Conquet,1787,48,[21-50],out,in,French,France,Le Conquet,Dunkerque
Courseulles,1787,15,[1-20],out,in,French,France,Courseulles,Granville
Mediterranée,1787,,,out,in,French,,,Bastia
Courseulles,1787,15,[1-20],out,in,French,France,Courseulles,Granville
Le Croisic,1787,12,[1-20],out,in,French,,,Granville
Cherbourg,1787,25,[21-50],out,in,French,,,Le Havre
Touques,1787,30,[21-50],out,in,French,France,La Hougue,Touques
Le Havre,1787,60,[51-100],out,in,French,France,Dieppe,Dieppe
Plouharnel,1787,36,[21-50],out,in,French,France,Plouharnel,Hennebont
Bordeaux,1787,80,[51-100],out,in,French,,Plassac,Dunkerque
Charente,1787,40,[21-50],out,in,French,France,Port d' Envaux,La Rochelle
Moss,1787,125,[101-200],out,in,Danish/Norwegian,,,Le Havre
Granville,1787,170,[101-200],out,in,French,France,Grandville,Rochefort
Nantes,1787,18,[1-20],out,in,French,France,Paimbeuf,Lorient
Côte de Bretagne,1787,80,[51-100],in-out,in,French,France,Saint Malo,Le Croisic
Saint Brieux,1787,90,[51-100],in-out,in,French,France,Saint Malo,Saint Malo
Marseille,1787,195,[101-200],out,in,French,France,Dunkerque,Ostende
,1787,100,[51-100],out,in,NonFrench,,,Saint Nazaire
Cote d' Espagne,1787,160,[101-200],in-out,in,French,France,Port Vendres,Italie
Cote d' Espagne,1787,160,[101-200],in-out,in,French,France,Port Vendres,Sicile
Boulogne sur Mer,1787,70,[51-100],out,in,French,France,Boulogne,Charente
Douvres,1787,24,[21-50],out,in,British,Grande-Bretagne,Douvres,Calais
Le Havre,1787,75,[51-100],out,in,French,,,Touques
Honfleur,1787,45,[21-50],out,in,French,France,Honfleur,Rouen
Rouen,1787,45,[21-50],out,in,French,France,Honfleur,Le Havre
Bordeaux,1787,25,[21-50],out,in,French,France,Arzon,Nantes
Cherbourg,1787,30,[21-50],out,in,French,,,Granville
Brest,1787,130,[101-200],out,in,French,France,Brest,Le Havre
Marennes,1787,60,[51-100],out,in,French,France,Aber Ildut,Etaples
Bayonne,1787,70,[51-100],in-out,in-out,French,France,Noirmoutier,Bayonne
Libourne,1787,35,[21-50],out,in,French,France,Noirmoutier,Nantes
Nantes,1787,76,[51-100],out,in,French,France,Noirmoutier,Le Havre
Rouen,1787,203,[201-500],out,in,French,France,Noirmoutier,Nantes
Lannion,1787,38,[21-50],out,in,French,,,Rouen
La Rochelle,1787,103,[101-200],out,in,French,France,Saint Malo,Dieppe
Cadix,1787,300,[201-500],in-out,in,French,France,Dunkerque,Dunkerque
Saint Domingue,1787,350,[201-500],in-out,in,French,France,Dunkerque,La Martinique
Redon,1787,58,[51-100],out,in,French,France,Redon,Nantes
Redon,1787,58,[51-100],out,in,French,France,Redon,Cherbourg
Auray,1787,9,[1-20],out,in,French,France,Carnac,Nantes
Angleterre,1787,30,[21-50],out,in,British,,,Boulogne sur Mer
Amsterdam,1787,85,[51-100],out,in,Dutch,,,Dieppe
Rochefort,1787,150,[101-200],out,in,French,France,Rochefort,Saint Pierre et Miquelon
Bayonne,1787,40,[21-50],out,in,French,France,Bayonne,Nantes
Le Havre,1787,30,[21-50],out,in,French,,,Rouen
Bayonne,1787,90,[51-100],in-out,in,French,,,Boston
Livourne,1787,150,[101-200],in-out,in,French,France,Dunkerque,Genes
Caen,1787,70,[51-100],out,in,French,,,Rouen
La Corogne,1787,220,[201-500],out,in,French,,,Le Havre
Côte de Bretagne,1787,70,[51-100],in-out,in,French,France,Bayonne,Saint Brieux
